DATE,OPEN,HIGH,LOW,CLOSE
01/02/2018,10.950000,11.070000,9.520000,9.770000
01/03/2018,9.560000,9.650000,8.940000,9.150000
01/04/2018,9.010000,9.310000,8.920000,9.220000
01/05/2018,9.100000,9.540000,9.000000,9.220000
01/08/2018,9.610000,9.890000,9.320000,9.520000
01/09/2018,9.410000,10.090000,9.370000,10.080000
01/10/2018,10.110000,10.850000,9.820000,9.820000
01/11/2018,9.690000,10.020000,9.620000,9.880000
01/12/2018,9.740000,10.310000,9.540000,10.160000
01/16/2018,10.420000,12.410000,10.400000,11.660000
01/17/2018,11.350000,12.810000,11.180000,11.910000
01/18/2018,12.010000,12.400000,11.620000,12.220000
01/19/2018,12.300000,12.330000,11.180000,11.270000
01/22/2018,11.590000,11.620000,10.840000,11.030000
01/23/2018,10.770000,11.570000,10.760000,11.100000
01/24/2018,11.000000,12.190000,10.890000,11.470000
01/25/2018,11.270000,12.010000,11.200000,11.580000
01/26/2018,11.400000,11.600000,11.080000,11.080000
01/29/2018,11.710000,13.840000,11.680000,13.840000
01/30/2018,13.930000,15.420000,13.880000,14.790000
01/31/2018,14.230000,14.440000,13.410000,13.540000
02/01/2018,13.050000,14.300000,12.500000,13.470000
02/02/2018,13.640000,17.860000,13.640000,17.310000
02/05/2018,18.440000,38.800000,16.800000,37.320000
02/06/2018,37.320000,50.300000,22.420000,29.980000
02/07/2018,31.380000,31.640000,21.170000,27.730000
02/08/2018,27.290000,36.170000,24.410000,33.460000
02/09/2018,32.180000,41.060000,27.730000,29.060000
02/12/2018,27.250000,29.700000,24.420000,25.610000
02/13/2018,26.940000,27.820000,24.470000,24.970000
02/14/2018,23.480000,25.720000,18.990000,19.260000
02/15/2018,18.390000,20.660000,17.600000,19.130000
02/16/2018,18.740000,20.990000,17.440000,19.460000
02/20/2018,20.530000,21.610000,19.750000,20.600000
02/21/2018,20.760000,21.040000,16.970000,20.020000
02/22/2018,20.570000,20.610000,18.070000,18.720000
02/23/2018,17.960000,18.800000,16.470000,16.490000
02/26/2018,16.530000,16.940000,15.800000,15.800000
02/27/2018,15.830000,18.980000,15.290000,18.590000
02/28/2018,18.080000,20.440000,15.650000,19.850000
03/01/2018,19.960000,25.300000,19.570000,22.470000
03/02/2018,22.470000,26.220000,19.360000,19.590000
03/05/2018,21.550000,21.570000,17.940000,18.730000
03/06/2018,18.250000,19.640000,17.680000,18.360000
03/07/2018,20.110000,20.490000,17.520000,17.760000
03/08/2018,17.560000,17.680000,14.910000,16.540000
03/09/2018,16.410000,16.750000,13.310000,14.640000
03/12/2018,15.280000,16.350000,15.180000,15.780000
03/13/2018,15.700000,16.980000,15.030000,16.350000
03/14/2018,16.590000,17.590000,14.940000,17.230000
03/15/2018,16.990000,17.410000,15.960000,16.590000
03/16/2018,16.600000,16.720000,15.230000,15.800000
03/19/2018,16.630000,21.870000,16.560000,19.020000
03/20/2018,18.380000,19.310000,18.090000,18.200000
03/21/2018,17.760000,18.370000,16.260000,17.860000
03/22/2018,18.130000,23.810000,18.120000,23.340000
03/23/2018,24.020000,26.010000,21.630000,24.870000
03/26/2018,23.410000,24.540000,20.710000,21.030000
03/27/2018,20.330000,24.060000,19.840000,22.500000
03/28/2018,22.520000,24.940000,21.710000,22.870000
03/29/2018,22.870000,23.050000,19.600000,19.970000
04/02/2018,21.070000,25.720000,20.440000,23.620000
04/03/2018,23.030000,23.380000,20.920000,21.100000
04/04/2018,21.680000,24.510000,19.860000,20.060000
04/05/2018,19.760000,20.210000,18.570000,18.940000
04/06/2018,20.330000,23.120000,18.600000,21.490000
04/09/2018,21.270000,22.020000,20.340000,21.770000
04/10/2018,20.510000,21.680000,20.240000,20.470000
04/11/2018,20.950000,21.660000,19.640000,20.240000
04/12/2018,19.830000,19.920000,18.160000,18.490000
04/13/2018,18.270000,18.450000,17.260000,17.410000
04/16/2018,17.590000,17.660000,16.380000,16.560000
04/17/2018,16.160000,16.270000,14.570000,15.250000
04/18/2018,15.300000,16.900000,14.950000,15.600000
04/19/2018,15.550000,16.920000,15.160000,15.960000
04/20/2018,16.160000,17.500000,15.190000,16.880000
04/23/2018,17.290000,17.560000,15.790000,16.340000
04/24/2018,16.160000,19.660000,15.370000,18.020000
04/25/2018,18.140000,19.840000,17.750000,17.840000
04/26/2018,18.070000,18.120000,16.240000,16.240000
04/27/2018,16.220000,16.770000,15.250000,15.410000
04/30/2018,15.390000,16.350000,15.130000,15.930000
05/01/2018,15.780000,16.820000,15.420000,15.490000
05/02/2018,15.480000,15.970000,14.750000,15.970000
05/03/2018,15.780000,18.660000,15.430000,15.900000
05/04/2018,15.940000,16.920000,10.910000,14.770000
